# Server version 0.08 running on wpa070049.wireless.mcgill.ca:8123
# Game ID: 165
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Sun Apr 06 18:45:29 EDT 2014
# Player 1: Player-0, '111111111', running on localhost
# Player 2: Player-1, 'random', running on wpa070049.wireless.mcgill.ca
# Player 3: Player-2, 'random', running on wpa070049.wireless.mcgill.ca
# Player 4: Player-3, '111111111', running on localhost
START Player-0 111111111
START Player-1 random
START Player-2 random
START Player-3 111111111
0 (1,1) (3,3)
0 null null
1 (14,2) (14,4)
1 (14,4) (14,2)
1 (14,2) (14,4)
1 (14,4) (14,2)
1 (14,2) (12,2)
1 (12,2) (14,2)
1 (14,2) (14,4)
1 null null
2 (3,14) (4,13)
3 (14,14) (12,12)
3 null null
0 (1,0) (3,2)
0 (3,2) (3,4)
0 null null
1 (15,2) (13,4)
1 null null
2 (0,12) (0,11)
3 (15,14) (13,12)
3 (13,12) (11,12)
3 null null
0 (0,1) (2,3)
0 (2,3) (4,5)
0 null null
1 (12,0) (11,1)
2 (4,13) (3,13)
3 (14,15) (12,13)
3 (12,13) (10,11)
3 null null
0 (0,2) (2,4)
0 (2,4) (4,4)
0 (4,4) (4,6)
0 null null
1 (13,4) (13,3)
2 (1,12) (0,12)
3 (15,13) (13,11)
3 (13,11) (11,13)
3 (11,13) (11,11)
3 (11,11) (9,11)
3 null null
0 (2,0) (4,2)
0 (4,2) (2,4)
0 (2,4) (4,4)
0 null null
1 (13,2) (11,0)
1 (11,0) (13,2)
1 null null
2 (3,13) (3,12)
3 (13,15) (11,13)
3 (11,13) (11,11)
3 null null
0 (3,3) (5,5)
0 (5,5) (3,5)
0 (3,5) (5,7)
0 null null
1 (15,1) (14,2)
2 (0,11) (1,12)
3 (12,12) (10,10)
3 (10,10) (10,12)
3 (10,12) (8,10)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (5,5)
0 null null
1 (13,2) (12,2)
2 (2,13) (4,11)
2 (4,11) (2,13)
2 (2,13) (4,11)
2 null null
3 (14,12) (14,14)
3 (14,14) (12,12)
3 (12,12) (10,10)
3 null null
0 (4,4) (6,6)
0 null null
1 (12,2) (11,3)
2 (3,12) (5,10)
2 (5,10) (3,12)
2 (3,12) (5,10)
2 (5,10) (3,12)
2 (3,12) (5,10)
2 (5,10) (3,12)
2 (3,12) (5,10)
2 (5,10) (3,12)
2 (3,12) (5,10)
2 null null
3 (11,11) (9,9)
3 null null
0 (3,4) (5,6)
0 (5,6) (7,6)
0 null null
1 (11,1) (12,0)
2 (0,15) (2,13)
2 (2,13) (0,15)
2 null null
3 (11,12) (9,10)
3 (9,10) (9,8)
3 null null
0 (4,5) (6,5)
0 (6,5) (8,7)
0 (8,7) (10,9)
0 null null
1 (15,3) (13,5)
1 null null
2 (0,13) (0,11)
2 (0,11) (0,13)
2 (0,13) (0,11)
2 (0,11) (2,13)
2 (2,13) (0,13)
2 null null
3 (10,10) (10,8)
3 (10,8) (8,8)
3 null null
0 (5,5) (7,7)
0 null null
1 (14,3) (13,2)
2 (0,13) (2,11)
2 null null
3 (10,11) (8,11)
3 (8,11) (8,9)
3 (8,9) (8,7)
3 (8,7) (6,7)
3 (6,7) (4,7)
3 (4,7) (4,5)
3 null null
0 (3,1) (1,1)
0 (1,1) (3,3)
0 null null
1 (14,4) (12,6)
1 (12,6) (14,4)
1 (14,4) (12,2)
1 (12,2) (14,4)
1 (14,4) (12,2)
1 null null
2 (1,12) (3,10)
2 null null
3 (9,11) (7,9)
3 (7,9) (9,7)
3 null null
0 (4,6) (6,8)
0 (6,8) (8,6)
0 (8,6) (10,8)
0 (10,8) (10,10)
0 null null
1 (11,3) (10,4)
2 (1,13) (2,13)
3 (8,10) (10,8)
3 (10,8) (8,6)
3 (8,6) (6,8)
3 (6,8) (4,6)
3 (4,6) (4,4)
3 null null
0 (1,2) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,6)
0 (5,6) (5,8)
0 null null
1 (13,0) (11,2)
1 null null
2 (2,13) (2,12)
3 (8,8) (10,8)
3 (10,8) (8,6)
3 (8,6) (6,8)
3 (6,8) (4,6)
3 null null
0 (3,0) (1,2)
0 (1,2) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,6)
0 null null
1 (14,0) (15,1)
2 (2,12) (1,12)
3 (4,5) (4,3)
3 (4,3) (2,3)
3 null null
0 (3,3) (5,5)
0 null null
1 (12,1) (11,0)
2 (4,11) (4,12)
3 (12,14) (14,14)
3 (14,14) (12,12)
3 null null
0 (6,6) (8,8)
0 (8,8) (10,8)
0 (10,8) (8,10)
0 null null
1 (13,3) (12,3)
2 (2,15) (4,15)
2 null null
3 (13,13) (11,11)
3 null null
0 (10,9) (10,11)
0 (10,11) (12,11)
